start_time     end_time
YYYY/DOYTHH:MM YYYY/DOYTHH:MM
2016/301T04:00 2016/301T05:30
2016/287T17:30 2016/287T23:00
2016/194T06:30 2016/194T07:15
2016/271T08:30 2016/271T19:00
2017/024T08:00 2017/024T15:00
2017/024T18:30 2017/024T21:00
2017/118T17:15 2017/118T19:15
2017/149T14:00 2017/150T00:00
2017/150T11:00 2017/150T23:30
2017/151T08:00 2017/151T11:15
2017/151T12:15 2017/151T14:00
2017/156T11:15 2017/156T12:15
2017/171T11:00 2017/171T15:45
2017/171T19:00 2017/172T15:30
2017/173T06:00 2017/173T13:00
2017/186T07:30 2017/186T20:30
2017/199T02:00 2017/199T02:30
2017/199T06:00 2017/199T06:30
